local_index,pac_vertex_index,runtime_vertex_index,pac_x,pac_y,pac_z,runtime_x,runtime_y,runtime_z,delta_x,delta_y,delta_z,delta_len,bone_idx,bone_wt,extra0_hex,extra1_hex,uv1_raw,pac_raw40_hex,runtime_raw40_hex
2324,22178,68400,-0.068759340,1.785017338,-1.520820255,-0.612335719,1.557602940,-2.057142265,-0.543576379,-0.227414398,-0.536322009,0.796764636,"(141, 28, 178, 8)","(105, 87, 33, 14)",89203206,0b050000,3558350027,d337cc3b8d4ab45906105f208d1cb208892032066957210e0b050000ffffffff9e4f4233cb1c18d4,160a392db4378813ae2554395e50755862ef128908ec120cbc18c000fa02010100000000ffffffff
2325,22179,68401,-0.071266226,1.786114486,-1.534158834,-0.563405024,1.605267925,-2.029131250,-0.492138798,-0.180846561,-0.494972416,0.721043527,"(135, 24, 130, 8)","(98, 75, 67, 10)",632c4206,02020000,3571719335,9d37de3b154ac6598c3a9a4387188208632c4206624b430a02020000ffffffff9e4e4a33a71ce4d4,340e4730b03898e980194d3905506558194723a20804b30bbc307000fd01010000000000ffffffff
2326,22180,68402,-0.070709140,1.786419249,-1.543829303,-0.578121372,1.620688950,-2.097269155,-0.507412232,-0.165730299,-0.553439852,0.768914413,"(134, 28, 66, 6)","(159, 52, 25, 12)",882c3206,04030000,3585875154,a937e33bbe49c8591a878846861c4206882c32069f34190c04030000ffffffffb14e1033d21cbcd5,f70c44314b36ff52ef2a7b391f5082582cd781f30804b30bbcc46200e909080400000000ffffffff
2327,22181,68403,-0.070662716,1.786175439,-1.543051220,-0.548688677,1.897292149,-1.875737598,-0.478025961,0.111116710,-0.332686378,0.592904688,"(134, 28, 66, 6)","(118, 92, 28, 16)",882c3206,01010000,3551272061,aa37df3bc549c659e69a6844861c4206882c3206765c1c1001010000ffffffff9f4e88337d1cacd3,710ffe42143e51a2c327b038d14f0a584c174da70830700003280000ff00000000000000ffffffff
2328,22182,68404,-0.070801988,1.786602107,-1.543718149,-0.185793762,1.658418650,-2.820664728,-0.114991775,-0.128183457,-1.276946579,1.288505597,"(134, 144, 113, 8)","(192, 21, 16, 10)",8b8c8108,09070000,3539999975,a737e63bbf49ca592b773847869071088b8c8108c015100a09070000ffffffff944f2e33e71c00d3,fa2daf33df1c13b21d38e53b4849c55958ff6b31a2b8120aaf98020acf2b020200000000ffffffff
2329,22183,68405,-0.071173378,1.785992581,-1.534603453,-0.185004558,1.664635822,-2.832558293,-0.113831179,-0.121356758,-1.297954840,1.308576237,"(135, 32, 98, 8)","(107, 77, 65, 4)",6390b108,02010000,3667140128,9f37dc3b114ac5594e4e3b44872062086390b1086b4d410402010000ffffffffa7505e34201e94da,0b2e1534741c10e02338ed3b4249ca59b7d72e6fa2bce20aa180320ae1150a0000000000ffffffff
2330,22184,68406,-0.068620069,1.785504959,-1.524266055,-0.183518996,1.654639585,-2.822998979,-0.114898927,-0.130865374,-1.298732924,1.310356714,"(135, 36, 210, 8)","(129, 54, 39, 28)",882c6208,03020000,1138171329,d637d43b6e4ab4593934ed118724d208882c62088136271c03020000fffffeff47516d35c11dd743,2b2e7133ca1c2dad2138e53b3749c6595e67ef13a2b8f20aa198020acb30020200000000ffffffff
2331,22185,68407,-0.069223578,1.784834480,-1.518263695,-0.186118729,1.651165283,-2.818775096,-0.116895151,-0.133669197,-1.300511401,1.312578316,"(141, 140, 177, 8)","(170, 34, 28, 11)",8720c208,09030000,4125105598,c937c93ba44ab75918fc2e268d8cb1088720c208aa221c0b09030000ffffffff06518d34be1de0f5,f32d3833f01c0da22138e23b4a49c5598462fe0ea2b8120aaf98020abc380a0000000000ffffffff
2332,22186,68408,-0.069223578,1.785504959,-1.520709101,-0.059428154,1.708338884,-3.170691258,0.009795424,-0.077166075,-1.649982157,1.651814660,"(141, 32, 114, 8)","(90, 64, 58, 39)",898cb108,02020000,3567787267,c937d43b8e4ab9593035dc508d207208898cb1085a403a2702020000ffffffffcd4eeb32031da8d4,9c38e236921030e79937c839ca425e5a3b2a23326c4c92069284f10a8e392a0a02010000ffffffff
2333,22187,68409,-0.070616292,1.785992581,-1.542050826,-0.185422372,1.662319621,-2.825444385,-0.114806079,-0.123672960,-1.283393559,1.294439826,"(135, 24, 66, 6)","(125, 84, 29, 17)",882c3206,00000000,3554155574,ab37dc3bce49c45972ea784187184206882c32067d541d1100000000fffffeffd84e0a34361cd8d3,022eef33b41c60ea1e38eb3b4549c75932878a38a2b8f20aa180620ada1a0a0100000000ffffffff
2334,22188,68410,-0.071126954,1.786906871,-1.541606207,-0.183983234,1.661953905,-2.825777849,-0.112856280,-0.124952966,-1.284171642,1.295162766,"(134, 44, 50, 6)","(217, 16, 15, 4)",6d908108,02010000,3560185074,a037eb3bd249cd598983394f862c32066d908108d9100f0402010000ffffffff4d4f1033f21c34d4,212ee933b11c50d81f38ea3b3a49c75980372d34a2b8f20aa180620ada1a0a0000000000ffffffff
2335,22189,68411,-0.070987683,1.785992581,-1.537160014,-0.186165153,1.665976781,-2.830779816,-0.115177470,-0.120015800,-1.293619802,1.304270614,"(135, 24, 130, 8)","(119, 74, 53, 7)",648cb108,01010000,220732876,a337dc3bfa49c5596d7a4a4387188208648cb108774a350701010000fffffeff91504e34cc1d280d,f22d2b34841cf80a2238ef3b4a49c9591b737c39a2bce20aa180320ae214080000000000ffffffff
2336,22190,68412,-0.068991459,1.785687817,-1.525044139,-0.182683367,1.660430088,-2.827222862,-0.113691908,-0.125257729,-1.302178723,1.313120244,"(135, 52, 130, 8)","(91, 68, 51, 43)",892c6208,01010000,3603700774,ce37d73b674ab85932ebb34d87348208892c62085b44332b01010000fffffefff44e5434261cccd6,3d2ed033a41ca4cb2138ea3b3149c859bec36f27a2b8f20aa180620ad81c0a0000000000ffffffff
2337,22191,68413,-0.071266226,1.787089729,-1.540605814,-0.196703357,1.373038267,-2.851232303,-0.125437132,-0.414051462,-1.310626490,1.380186539,"(134, 140, 177, 8)","(231, 14, 8, 1)",6d908108,00000000,3578797262,9d37ee3bdb49cd59d2df195c868cb1086d908108e70e080100000000ffffffff3b4f2d33ce1c50d5,0f2d6521cc1b91a5d233b0399d49eb59f8c4a504d5fce20c7434c30c3f3b322e180d0000fffffcff
2338,22192,68414,-0.071034107,1.786175439,-1.537826943,-0.194985677,1.364139178,-2.863348179,-0.123951570,-0.422036261,-1.325521236,1.396597703,"(135, 24, 130, 8)","(98, 94, 50, 7)",648cb108,04020000,3412991259,a237df3bf449c659d3aaf94487188208648cb108625e320704020000ffffffffd84ee4321b1d6ecb,342dd3205f1b49a5e433bc399049f159df14a605ced0d10cd5fcc20c4b2e2d2b200e0000fffffdff
2339,22193,68415,-0.070616292,1.785870675,-1.541606207,-0.192246672,1.357434385,-2.874463661,-0.121630379,-0.428436291,-1.332857454,1.405297334,"(135, 24, 66, 6)","(133, 77, 29, 16)",882c3206,00000000,3959954919,ab37da3bd249c3593699d90287184206882c3206854d1d1000000000fffffeffe7504534e71d08ec,6f2d6520fb1acda1f733c6397c49f759f674b504ce34530d74fcc20c55322f2e16060000fffffdff
2340,22194,68416,-0.068898611,1.785565912,-1.521820649,-0.412016983,1.570951574,-2.443405267,-0.343118372,-0.214614338,-0.921584618,1.006532532,"(135, 52, 146, 8)","(74, 69, 56, 55)",882c6208,01000000,3590331859,d037d53b844ab759cff82c0787349208882c62084a45383701000000fffffeff27519534d31d00d6,f11a142e212abda37a32fb37e24d22591865b503b594200b06d08100c712110b06040000ffffffff
2341,22195,68417,-0.069130731,1.785444007,-1.519375243,-0.397161364,1.558943899,-2.463968908,-0.328030634,-0.226500108,-0.944593665,1.025262692,"(141, 32, 114, 8)","(89, 63, 54, 43)",898cb108,02020000,3539999829,cb37d33b9a4ab8595068ff538d207208898cb108593f362b02020000ffffffffb64ec533551c00d3,311c4f2d682949a76a321238ab4d2d59e6d85505b594400706e8220bc1150e0b08080000ffffffff
2342,22196,68418,-0.070987683,1.786784965,-1.542828910,-0.383141374,1.537854276,-2.483643312,-0.312153691,-0.248930689,-0.940814402,1.022026493,"(134, 44, 50, 6)","(201, 19, 15, 10)",6d907108,07040000,1710169370,a337e93bc749cc5951c7b849862c32066d907108c9130f0a07040000ffffffff414f55331a1def65,5f1df52bb72811b25b322938774d37599010050ab5e84207cbf4220b8147250d03020000ffffffff
2343,22197,68419,-0.071034107,1.785687817,-1.537715788,-0.199256667,1.671279663,-2.839338737,-0.128222560,-0.114408154,-1.301622949,1.312917573,"(135, 24, 130, 8)","(123, 77, 49, 6)",648cb108,00000000,518003793,a237d73bf549c35976a0c92d87188208648cb1087b4d310600000000fffffefff34e9734511ce01e,d82c8234371cb34a2e38f13baa49cc599f66897da2bc320aa0b8120af605020101000000ffffffff
2344,22198,68420,-0.071544769,1.787333539,-1.540605814,-0.199535210,1.671157757,-2.835892938,-0.127990441,-0.116175782,-1.295287124,1.306769720,"(134, 140, 177, 8)","(236, 13, 5, 1)",6d908108,00000000,668736605,9737f23bdb49cb5988cd163f868cb1086d908108ec0d050100000000ffffffffea4e84345d1cdc27,d22c8034561cbe402f38f43bac49cb590d8d183ca2bc320aa0b8120af505030101000000ffffffff
2345,22199,68421,-0.071544769,1.787394492,-1.540939278,-0.196703357,1.646471928,-2.813773129,-0.125158589,-0.140922564,-1.272833851,1.286712809,"(134, 140, 177, 8)","(236, 13, 5, 1)",6d908108,00000000,388504637,9737f33bd849ca59be50b638868cb1086d908108ec0d050100000000fffffffffc4e8e343d1c2817,0f2deb321d1d09a62638dc3b9749c3593d516904a284e20aa6bc020a6c612f0300000000fffffeff
2346,22200,68422,-0.071451921,1.787211634,-1.540272349,-0.199442362,1.671828237,-2.837115641,-0.127990441,-0.115383397,-1.296843292,1.308242105,"(134, 140, 177, 8)","(235, 14, 6, 1)",6d90c108,00000000,3300465907,9937f03bde49cc599206b87d868cb1086d90c108eb0e060100000000ffffffffb04f3633f31cb9c4,d42c8b344b1c32472f38f33bab49cb59c31d793fa2bc320aa0b8120af604020101000000ffffffff
2347,22201,68423,-0.071266226,1.785931628,-1.533491905,-0.229200024,1.691881664,-2.810771949,-0.157933798,-0.094049964,-1.277280044,1.290438991,"(135, 32, 98, 8)","(108, 83, 59, 3)",6390b108,02000000,2720341250,9d37db3b1b4ac5596f95bd09872062086390b1086c533b0302000000ffffffffb94f5533021d25a2,532ad435381d50e42738be3b834abe59600c7e519f8c020aa4d8620aab3e0c0802000000ffffffff
2348,22202,68424,-0.071312650,1.785870675,-1.533158441,-0.234120947,1.693039765,-2.812883890,-0.162808298,-0.092830911,-1.279725450,1.293375949,"(135, 32, 98, 8)","(107, 86, 57, 3)",6390b108,01000000,2784304407,9c37da3b1e4ac459ce200e1d872062086390b1086b56390301000000ffffffff5c4f2b33171df5a5,e929e735251d18142338c03ba74abf59d9c4335f9f8c020aa4d8620a96500f0703000000ffffffff
2349,22203,68425,-0.070987683,1.785809723,-1.536715395,-0.234910152,1.694380723,-2.810994258,-0.163922469,-0.091428999,-1.274278863,1.288028128,"(135, 24, 130, 8)","(129, 68, 52, 6)",648cb108,00000000,591666219,a337d93bfe49c3596cf89b1887188208648cb1088144340600000000fffffefffc4e7d342b1c4423,d829fd35361d94202138c03bad4abe59bf08916a9f8c020aa4d8620a9647180803000000ffffffff
2350,22204,68426,-0.071359073,1.787150681,-1.540272349,-0.199024548,1.670426325,-2.841006060,-0.127665475,-0.116724356,-1.300733711,1.312185671,"(134, 140, 177, 8)","(234, 14, 6, 1)",6d90c108,00000000,1417878609,9b37ef3bde49cd598a370972868cb1086d90c108ea0e060100000000fffffffff24d7534511c8354,dd2c7434281cf5492e38f03ba849cd5959239976a2bc320aa0b8120af505020101000000ffffffff
2351,22205,68427,-0.070569869,1.787394492,-1.550276283,-0.226553867,1.696818830,-2.810105020,-0.155983998,-0.090575662,-1.259828737,1.272675687,"(134, 180, 65, 6)","(236, 17, 1, 0)",632c7208,00000000,1646206034,ac37f33b8449cb59882e857d86b44106632c7208ec11010000000000ffffffff834d4734521c1f62,8c2a25363e1df0e92338b93b704abd5941ea1d5d9f8c420aa0d8620abf18141300000000ffffffff
2352,22206,68428,-0.070291326,1.787211634,-1.554389011,-0.231753333,1.700354085,-2.810549639,-0.161462007,-0.086857549,-1.256160628,1.269469864,"(134, 180, 65, 6)","(223, 29, 3, 0)",8b8c7108,00000000,1446190144,b237f03b5f49cb5970d3e27586b441068b8c7108df1d030000000000ffffffffe74d6934401c3356,1c2a5f363a1dd00d1f38bd3b964abd592a21e3749f80420aa3d8120aa71f1d1b01000000ffffffff
2353,22207,68429,-0.070616292,1.787272587,-1.550609747,-0.230314195,1.689138794,-2.807326149,-0.159697903,-0.098133793,-1.256716402,1.270617872,"(134, 180, 65, 6)","(235, 18, 1, 0)",632c7208,00000000,3095534696,ab37f13b8149cc59f1be447b86b44106632c7208eb12010000000000ffffffff324d0134681c82b8,3b2aa735571d4e362838c33b8c4abc59f9ac3d4b9f8c020ab690620aa5480b0303010000ffffffff
2354,22208,68430,-0.070059207,1.787028776,-1.557390191,-0.020942817,1.770083935,-3.064427249,0.049116390,-0.016944841,-1.507037058,1.507932439,"(134, 180, 65, 6)","(223, 21, 11, 0)",872c3206,00000000,1236344135,b737ed3b4449ca59fa4bb16186b44106872c3206df150b0000000000ffffffff6a519d35471db149,d93bd73a4e140bc6dc375c39c83c2c5ab4b5e27761b021096744d205c01a180604030000ffffffff
2355,22209,68431,-0.069919935,1.784468764,-1.516929837,-0.063188483,1.839996643,-2.924816795,0.006731452,0.055527879,-1.407886958,1.408997638,"(141, 140, 177, 8)","(132, 106, 10, 4)",8c7c8108,02010000,413670808,ba37c33bb04abd59e1087d4d8d8cb1088c7c8108846a0a0402010000ffffffff1d513835981da818,4b38523f36195ccfa937d8383543ea597f5db1316744120690708100914e170801000000ffffffff
2356,22210,68432,-0.069919935,1.785078291,-1.519819862,-0.022799769,1.763257236,-3.055534864,0.047120166,-0.021821055,-1.535715001,1.536592670,"(141, 140, 129, 8)","(192, 33, 11, 10)",8b1cc208,05040000,768089511,ba37cd3b964aba590391b54d8d8c81088b1cc208c0210b0a05040000ffffffff7f513d35a71dc82d,b13b673a9e149fc1cf375439353d295a906552766148c206919cd105bd1c170706020000ffffffff
2357,22211,68433,-0.069548545,1.784956385,-1.516151753,-0.018296660,1.755942916,-3.087102833,0.051251885,-0.029013469,-1.570951080,1.572054653,"(141, 140, 177, 8)","(177, 42, 16, 10)",881cc208,05050000,450370970,c237cb3bb74ab95916a4df568d8cb108881cc208b12a100a05050000ffffffff485134359a1dd81a,123cef398213fdb8dc3771392e3c375afbe0937661b021095d9c11099d421a0402010000ffffffff
2358,22212,68434,-0.069780664,1.785017338,-1.518152540,-0.039233798,1.734548530,-3.058647199,0.030546866,-0.050468808,-1.540494659,1.541623821,"(141, 140, 177, 8)","(187, 38, 11, 11)",881cc208,05040000,2451119456,bd37cc3ba54aba599b50ea4a8d8cb108881cc208bb260b0b05040000ffffffff75508636601d1992,4f3a9038821451bf9d3760397b402c5aff74c2736148c206919cd105923b2b0502010000ffffffff
2359,22213,68435,-0.069316426,1.783798285,-1.526044532,-0.033941483,1.779836361,-3.024300359,0.035374942,-0.003961923,-1.498255827,1.498678620,"(141, 44, 242, 5)","(239, 7, 5, 4)",63307208,00000000,2052005222,c737b83b5e4abb592cffe2698d2cf20563307208ef07050400000000ffffffffb850b636661d4f7a,c13a773bb7151eb8c5373739c13f1a5adf90b4766144720692b0c105ab2a180c03020000ffffffff
2360,22214,68436,-0.069177154,1.783981143,-1.523599126,-0.045408164,1.796781202,-2.994399712,0.023768990,0.012800060,-1.470800586,1.471048324,"(141, 44, 242, 5)","(239, 7, 4, 4)",63307208,00000000,2231442784,ca37bb3b744aba59ea09da7a8d2cf20563307208ef07040400000000ffffffff9850a136601d0185,ca398d3cc41602c2b7371b392e410c5a95599379614472069270c1068743300301000000ffffffff
2361,22215,68437,-0.069270002,1.783920190,-1.524821829,-0.000005679,1.755272437,-3.521940491,0.069264323,-0.028647753,-1.997118662,1.998524753,"(141, 44, 242, 5)","(239, 7, 5, 4)",63307208,00000000,1846484067,c837ba3b694abb59b74295728d2cf20563307208ef07050400000000ffffffff954d5834631c0f6e,9c3de4393a0411888b32bb390000f65a830228bb6ba8e10969000000fe01000000000000ffffffff
2362,22216,68438,-0.070198478,1.787333539,-1.553722082,-0.000005679,1.783920190,-3.568069741,0.070192799,-0.003413349,-2.014347659,2.015573162,"(134, 180, 65, 6)","(224, 28, 3, 0)",8b8c7108,00000000,3844087083,b437f23b6549ca59e1de537b86b441068b8c7108e01c030000000000ffffffff324e3d332b1d20e5,9c3dba3b9b0261890f33d0390000085ba10268b96ba8e10900000000ff00000000000000ffffffff
2363,22217,68439,-0.070012783,1.785748770,-1.547830877,-0.033570093,1.732902808,-3.545283003,0.036442690,-0.052845962,-1.997452126,1.998483365,"(134, 28, 66, 6)","(118, 91, 42, 3)",88b4b108,00000000,3705675047,b837d83b9a49c2595fd41623861c420688b4b108765b2a0300000000fffffeff2a4efc32271de0dc,c93a75386803b5ace532a239aa3f025be763a0a96ba8e10969000000ff00000000000000ffffffff
2364,22218,68440,-0.070152054,1.785931628,-1.548164341,-0.014536331,1.778251592,-3.574961340,0.055615723,-0.007680036,-2.026796999,2.027574454,"(134, 28, 66, 6)","(109, 97, 46, 3)",88b4b108,00000000,3783793963,b537db3b9749c2598a7c7610861c420688b4b1086d612e0300000000fffffeff304e22332b1d88e1,633c5d3b5d02a9992f33c739a23a0c5b957ba2b26ba8e10900000000ff00000000000000ffffffff
2365,22219,68441,-0.070059207,1.785809723,-1.547942032,-0.015279112,1.749116218,-3.526608993,0.054780095,-0.036693505,-1.978666962,1.979765192,"(134, 28, 66, 6)","(115, 94, 44, 3)",88b4b108,00000000,3155435064,b737d93b9949c25953b8961d861c420688b4b108735e2c0300000000fffffeffea4fc734381e14bc,533c7f3910040195a632b139f73af95a71ff82b56ba8e10969000000fe00000000000000ffffffff
2366,22220,68442,-0.067877288,1.785565912,-1.531379963,-0.040162274,1.697611215,-3.492150999,0.027715014,-0.087954697,-1.960771035,1.962938411,"(135, 24, 146, 8)","(201, 26, 9, 7)",882cd208,06060000,856169512,e637d53b2e4ab259d7cdd10b87189208882cd208c91a090706060000fffffeff5b4e7434281c0833,3b3a3236460545a6523285399640ee5ad2c710ad6ba8e10969bc4207fb02010000000000ffffffff
2367,22221,68443,-0.070941259,1.787211634,-1.546274709,-0.029624069,1.708156026,-3.563401239,0.041317190,-0.079055608,-2.017126529,2.019097901,"(134, 180, 49, 6)","(245, 5, 2, 1)",8b907108,01000000,2517179710,a437f03ba849cd5953df967686b431068b907108f505020101000000ffffffffac5025363e1d0996,1e3bdf36c50220d31f339139c33e0d5be3c7a1d56ba8e10900000000ff00000000000000ffffffff
2368,22222,68444,-0.069873511,1.783859237,-1.524043745,-0.028324202,1.605999357,-3.467474629,0.041549309,-0.177859880,-1.943430883,1.951994898,"(141, 140, 241, 5)","(191, 24, 20, 19)",8b308208,00000000,2611551544,bb37b93b704abd594116125d8d8cf1058b308208bf18141300000000ffffffffe550d435381da99b,3a3b5330240680e047323d39793eea5a8cdf03cc6ba831089ed07109fb01010100000000ffffffff
2369,22223,68445,-0.070244902,1.784164001,-1.521931804,-0.000005679,1.654030058,-3.532944818,0.070239223,-0.130133942,-2.011013014,2.016442842,"(141, 140, 177, 8)","(171, 62, 12, 8)",5f308208,02000000,3618118941,b337be3b834abe5960f071518d8cb1085f308208ab3e0c0802000000ffffffff294eeb321d1da8d7,9c3d6733d703b8e3143360390000045b340308ca6ba8e109740c9206fe00000000000000ffffffff
2370,22224,68446,-0.070198478,1.785992581,-1.548164341,-0.053532331,1.625443258,-3.450801406,0.016666147,-0.160549323,-1.902637064,1.909471561,"(134, 28, 66, 6)","(108, 97, 47, 3)",88b4b108,00000000,1820269861,b437dc3b9749c35936ad6604861c420688b4b1086c612f0300000000fffffeff4f51e635251d7f6c,1b399231ba06dacbf6314d391d42e15af0bf90d86ba8e10983d0a10afa03010100000000ffffffff
2371,22225,68447,-0.069873511,1.784285906,-1.517930230,-0.000005679,1.709679842,-3.399447879,0.069867832,-0.074606063,-1.881517648,1.884291973,"(141, 140, 177, 8)","(150, 80, 15, 7)",5f308208,03000000,1600855350,bb37c03ba74abf59e1383c5f8d8cb1085f30820896500f0703000000ffffffff6051fd35361d6b5f,9c3df8368808d181333194390000c35a13fe87bf6ba8e10969b4f10aa935190701010000ffffffff
2372,22226,68448,-0.069780664,1.784285906,-1.517263301,-0.000005679,1.603195535,-3.477923182,0.069774985,-0.181090371,-1.960659881,1.970240960,"(141, 140, 177, 8)","(150, 71, 24, 8)",5f308208,03000000,1916214586,bd37c03bad4abe59c0f49e6a8d8cb1085f3082089647180803000000ffffffff1d515f363a1d3772,9c3d2530c60530e6973234390000ef5a140358c86ba831089ed07109fc01010000000000ffffffff
2373,22227,68449,-0.069594969,1.784103048,-1.519819862,-0.045036774,1.672437763,-3.512936950,0.024558195,-0.111665284,-1.993117088,1.996393741,"(141, 44, 242, 5)","(167, 31, 29, 27)",63307208,01000000,1234640215,c137bd3b964abd5929ddec748d2cf20563307208a71f1d1b01000000fffffffffd50a735571d9749,d23995348b0426c9933275392541f95af77ba0da6ba8e10969d03108fe01010000000000ffffffff
2374,22228,68450,-0.070384173,1.784468764,-1.520931410,-0.034312874,1.682373048,-3.412675302,0.036071300,-0.102095716,-1.891743892,1.894840264,"(141, 140, 177, 8)","(165, 72, 11, 3)",8c7c8108,03010000,2306940209,b037c33b8c4abc59f950324b8d8cb1088c7c8108a5480b0303010000ffffffffc6503636311d8189,b93a3835110881966f317739d73fcb5a7c3b52b56ba8e10969bc320cdd17070301000000ffffffff
2375,22229,68451,-0.069827088,1.783981143,-1.523043352,-0.027488574,1.659393893,-3.525275135,0.042338514,-0.124587250,-2.002231784,2.006550933,"(141, 124, 177, 8)","(171, 31, 27, 25)",63308208,00000000,872553846,bc37bb3b794abe59e5e5d3638d7cb10863308208ab1f1b1900000000ffffffff5c517135761d0234,4c3bbf331c0468decc326a39483e005b9bd353cd6ba8e109740c9206fe01000000000000ffffffff
2376,22230,68452,-0.069919935,1.784712575,-1.517485611,-0.055296435,1.657382455,-3.428014667,0.014623500,-0.127330120,-1.910529057,1.914823251,"(141, 140, 177, 8)","(156, 79, 11, 5)",8c207208,03010000,832052596,ba37c73bab4abb59c884eb478d8cb1088c2072089c4f0b0503010000ffffffff2a516e35741d9831,f5389e33870759aaa83161395042d45ade7bd0ea6ba8e10969bc3208f10a030100000000ffffffff
2377,22231,68453,-0.070105631,1.784773527,-1.519264088,-0.619020747,1.457823426,-2.073815488,-0.548915117,-0.326950102,-0.554551400,0.846009119,"(141, 140, 177, 8)","(168, 68, 9, 5)",8c207208,03010000,943922563,b637c83b9b4abb59119955468d8cb1088c207208a844090503010000ffffffff8d518635831d4338,8609d4261e376f618b36f93b6a50855852c3129d08ec6200bc04d302fc01010000000000fffffdff
2378,22232,68454,-0.069687816,1.784712575,-1.515595979,-0.501150696,1.430394726,-2.046693712,-0.431462880,-0.354317849,-0.531097733,0.770562234,"(141, 140, 177, 8)","(147, 82, 17, 6)",8c207208,02010000,1201675608,bf37c73bbc4aba5921e46f5b8d8cb1088c2072089352110602010000ffffffff8a51c335581da047,711312251238498c7c318233284f7c581c01998f081c50000c18b00bfa01010101000000fffffeff
2379,22233,68455,-0.069734240,1.784468764,-1.515707134,-0.558623372,1.401259352,-1.997452126,-0.488889132,-0.383209412,-0.481744992,0.786091772,"(141, 140, 177, 8)","(130, 99, 18, 5)",8c7c8108,02000000,153623982,be37c33bbb4abc5969ec3f628d8cb1088c7c81088263120502000000fffffffffd50ef34ae1d2809,9b0e3423cd39f99c5e2d2d32fa4f6858a0735d96081cc00005183000f902020200000000ffffffff
2380,22234,68456,-0.069687816,1.785383054,-1.520931410,-0.007665607,1.803973617,-3.631761454,0.062022209,0.018590563,-2.110830043,2.111822870,"(141, 32, 114, 8)","(164, 44, 20, 13)",6324b208,09050000,816061822,bf37d23b8c4ab9592d5156578d2072086324b208a42c140d09050000ffffffff03517f357e1da430,f73c033d5e0068d3e333d5390537235be1d373d66ba8010000000000ff00000000000000ffffffff
2381,22235,68457,-0.070337750,1.784773527,-1.520820255,-0.005855079,1.809825073,-3.634762634,0.064482671,0.025051546,-2.113942378,2.115073988,"(141, 140, 177, 8)","(177, 57, 11, 4)",8c207208,03020000,3483246085,b137c83b8d4abb592a01034c8d8cb1088c207208b1390b0403020000ffffffff41506c34051e9ecf,1e3d633d430080d2e533d839b337235be9c7d3d96b00000000000000ff00000000000000ffffffff
2382,22236,68458,-0.068480797,1.785748770,-1.528045319,-0.078972578,1.738327596,-3.029969255,-0.010491781,-0.047421174,-1.501923936,1.502709005,"(135, 36, 130, 8)","(164, 40, 24, 22)",8d18b208,03020000,1394548039,d937d83b4c4ab559ec2e924a872482088d18b208a428181603020000fffffeff25518f35471d1f53,f736ce388415d3b86637483981441f5af528e77a614812096c9c31097e5b180a03010000ffffffff
2383,22237,68459,-0.070152054,1.784468764,-1.519486398,-0.076465692,1.760148650,-2.996400499,-0.006313638,-0.024320114,-1.476914101,1.477127819,"(141, 140, 177, 8)","(148, 93, 8, 3)",8c7c8108,02010000,3609992642,b537c33b994abd59e1e895458d8cb1088c7c8108945d080302010000ffffffff5251ef34c21d2cd7,2d37343ab216d7b5723729395d440f5acb14c7786144220967b0c105824f210c01000000ffffffff
2384,22238,68460,-0.069362850,1.785200196,-1.517819075,-0.057756897,1.750761940,-3.027412694,0.011605952,-0.034438256,-1.509593619,1.510030988,"(141, 32, 114, 8)","(158, 44, 19, 16)",6324b208,0a070000,335551926,c637cf3ba84ab859376c5f548d2072086324b2089e2c13100a070000ffffffffdc500035b61d0014,c0389a399b1567b88c37433997421d5ad3f882726148120967b0c1059b35220706000000ffffffff
2385,22239,68461,-0.069827088,1.785444007,-1.522265268,-0.569486543,1.838168063,-1.767250493,-0.499659456,0.052724056,-0.244985225,0.558978674,"(141, 32, 114, 8)","(165, 40, 24, 11)",6324b208,09060000,4038073779,bc37d33b804ab959186d535b8d2072086324b208a528180b09060000ffffffff2651e934b31db0f0,b10d343fe44159b09a2fbe381450c6578ebc0d96083070000a000000fe01000000000000ffffffff
2386,22240,68462,-0.069502121,1.785322101,-1.519486398,-0.602029633,1.793124043,-1.776031724,-0.532527512,0.007801941,-0.256545326,0.591153048,"(141, 32, 114, 8)","(161, 45, 19, 15)",6324b208,0a050000,1781992492,c337d13b994ab959b47c5b518d2072086324b208a12d130f0a050000ffffffff0a420a322c0c376a,f40a513c95410daba82ece385050d457cec80888083070000a000000ff00000000000000ffffffff
2387,22241,68463,-0.026374402,1.669390130,-1.763693539,-0.016393284,1.718761790,-3.476255860,0.009981119,0.049371660,-1.712562321,1.713302917,"(106, 120, 178, 6)","(85, 56, 47, 44)",9ca4d106,11060000,1736903731,643b633404429c5adbd92de96a78b2069ca4d10655382f2c11060000fefeffff2d45c333330c8767,3b3c8d37d505319116329a397d3be55a4e53e3b76ba8e10969bcd206f804020000000000ffffffff
2388,22242,68464,-0.027581422,1.671645379,-1.674880837,-0.627191338,1.943616175,-1.693332537,-0.599609916,0.271970797,-0.018451700,0.658665796,"(106, 112, 146, 6)","(101, 44, 34, 33)",9eacd106,1c0f0000,372247641,4a3b88342345995a1ece6dd26a7092069eacd106652c22211c0f0000ffffffffef426338590c3016,d608f6457d44bcd1bd2b623873508257a2724cba0830000000000000ff00000000000000ffffffff
